country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.99,3.6,,,6.72,11.9,8.1,16.1,15.2,70.7,37.2,25.6,7.01,11.1,10.9,8.17,6.53,,,4.41,3.42,,3.37,,,,,,
Antigua and Barbuda,,,,,,,,,,,,6.26,,8.7,,,,,,,,,,11.5,6.81,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,6.04,8.34,9.05,9.94,10.2,,,,,,,14.7,8.62,4.28,4.38,4.74,4.99,4.85,6.76,7.11,8.22,8.32,8.5,9.23,7.32,6.16,6.43,5.73,6.01,5.68,6.73,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,1.83,,,1.82,1.52,1.93,2.56,4.1,8.6,10.4,41.1,9.1,5.58,5.6,3.6,2.15,2.98,2.52,2.12,1.49,2.16,2.03,,,0.691,,0.997,1.67,,,1.82,0.985,0.835,1.02,1.58
Australia,0.989,1.29,1.72,0.923,1.53,1,1.07,1.55,1.33,1.53,1.65,1.64,1.16,1.36,1.71,1.46,1.55,1.7,1.65,1.59,1.56,2.38,1.63,2.81,1.97,1.92,2.56,2.27,2.26,2.34,2.71,2.03,2.47,2.34,2.7,2.93,2.28,3.47,2.71,2.43,3.02,2.76,2.47,2.5,2.23,2.12,2.6,2.45,2.05,2.06,2.22,1.82,2.32,1.84,0.915,,1.68,1.05,1.33,1.62,1.36,1.18,1.38,1.42,0.99,1.36,
Austria,,,,,,0.873,0.999,1.22,1.21,1.46,1.18,1.43,0.966,0.709,1.12,0.902,1.41,0.696,1.19,0.739,1.72,1.18,1.76,2.23,2.03,1.78,1.63,1.34,2.03,1.63,1.65,1.48,1.55,2.01,1.04,1.44,1.14,0.822,1.16,0.832,1.4,1.12,1.76,1.61,0.779,0.805,0.606,0.793,0.971,0.482,0.786,0.593,1.05,0.613,0.539,0.583,0.576,0.697,0.384,0.856,0.424,0.455,0.371,0.856,0.376,0.284,0.229
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.18,,,2.5,2.94,3.02,3.55,2.01,8.57,7.05,120,108,174,19.1,14.3,13.3,11.4,9.19,4.63,,,,,,,0.205,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,8.01,,,,26.5,21.1,20.2,,6.69,20.8,31.9,,24.1,,,,,,29.9,33.4,22,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992,,
Barbados,,,,,,,,,,,4.99,1.88,,2.62,13.5,,3.62,7.88,8.2,,4.36,4.33,2.99,6.85,9.8,9.36,5.66,5.87,1.4,5.12,6.06,3.65,9.67,7.95,3.88,9.3,4.02,9.05,5.22,14.9,29.7,7.03,18.2,8.46,14.6,10.1,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,6.33,,,4.33,5.15,5.54,5.5,8,9.38,7.67,9.93,10.8,11.9,12.6,,11.7,12.8,12,10.5,9.14,,,,,,,,,,,,,,,
Belgium,,,,,0.727,0.674,0.579,0.53,0.65,0.584,0.604,0.493,0.447,0.621,0.633,0.856,0.8,1.01,0.735,0.642,1.11,1.15,1.24,0.974,0.963,1.02,0.962,0.824,1.63,1.92,1.66,1.2,0.81,1.28,1.62,2.35,1.96,1.56,1.32,1.87,1.26,2.02,1.56,2.52,1.69,1.71,2.02,2.42,2.23,2.3,2.39,1.79,1.9,1.36,1.92,1.42,1.27,1.53,1.04,1.18,1.14,1.15,0.946,0.914,0.715,0.604,
Belize,,,,,,,,,,,,,,,,,,,,4.02,,,,,,,,,,,,,,,,,,,,,2.06,1.99,,,,,,,,,,,,,,,,,,,,,,,,,
